gene_name,fit_type,R2,R2_linear,coeff_0,coeff_1,coeff_2
Gnb1,quadratic,1.0,0.002484324443427277,-0.0007975868208791216,-0.0015396867131868162,0.19652629000000005
Rock2,quadratic,1.0,0.07127205665173109,-0.00039962017783882814,-4.281053424908634e-05,0.09772496000000004
Crmp1,quadratic,1.0,1.2569180938504232e-05,-0.0003966513551282053,-0.0009133324602564114,0.08405477600000003
Pde4a,quadratic,1.0,0.25194330438158696,-0.0005233177710622717,0.0012182441007325964,0.14411340000000006
Epha3,quadratic,1.0,0.09822646840145122,-0.000328680920805861,0.00010468120124542023,0.07574438
Tmem150c,quadratic,1.0,0.4147078139404259,7.482911355311344e-05,-0.00033123363003662997,0.022370515000000007
Scamp5,quadratic,1.0,0.05347534156829392,-0.00022936990732600742,-0.0009723557432234445,0.062078543
Plcg1,quadratic,1.0,0.6979948467876982,-7.487514432234438e-05,-0.0010883674315018313,0.05141641599999999
Gnaq,quadratic,1.0,0.05954983103065947,-0.00037388656520146563,-0.00011625434468864639,0.12992630000000005
Cd24a,linear,0.9999449969918296,0.9999449969918296,0.009074248696943971,0.16505989079796257,
Arel1,quadratic,1.0,0.33301456644413097,0.00019638177527472533,-0.0006562137708791208,0.006710664000000004
Klf7,quadratic,1.0,0.6045963148764741,0.0002505579728644689,-0.001903234375699633,0.00023228447000000322
Sema4g,linear,0.9721658990750692,0.9721658990750692,0.0012131367555178265,0.03305565083701187,
Scaf8,quadratic,1.0,0.14361576731026748,0.00023921815512820518,0.0013440800602564106,0.012849215999999997
Trp53inp2,quadratic,1.0,0.02232669382669128,0.00020501339615384623,0.0007266175423076924,0.009012270999999999
Sh3gl2,quadratic,1.0,0.18360066822223442,-0.00021042845576923098,-0.001291644636538463,0.05882776500000004
Tef,linear,0.9642939762382117,0.9642939762382117,0.0016665809390492357,0.032963916492699474,
Rufy2,quadratic,1.0,0.44174211885026093,-0.00012917034551282062,0.0006213341839743582,0.04956677
Pcnx,quadratic,1.0,0.3011438238504618,-9.545130952380962e-05,-0.0007255209761904768,0.04381651
Aldh5a1,quadratic,1.0,0.35520768093506394,-0.00018901843525641045,-0.0015668873955128218,0.05541673700000002
Las1l,quadratic,1.0,0.06909899826790522,8.090729670329662e-05,0.00036556245054945,0.054021575000000016
Cit,quadratic,1.0,0.35356143460111633,-0.0011672891813186833,-0.009651383719780224,0.3758001300000001
Atxn2l,quadratic,1.0,0.5612085953695352,-0.0002698863939560442,0.001821191890659339,0.10484180600000005
Mtmr4,quadratic,1.0,0.5176741383402029,-0.00016973990714285727,0.001016048792857143,0.06423852000000001
C530008M17Rik,quadratic,1.0,0.016861564604244483,-0.00035381265256410275,-0.0004527790551282059,0.07770746000000002
Tmem63b,quadratic,1.0,0.7525445844012635,0.0001322713837912088,0.002160122856868132,0.015821029000000007
Zkscan2,quadratic,1.0,0.4688084689299439,0.00028409943241758243,-0.0014803908137362633,0.00032991950000000404
Trip11,quadratic,1.0,0.0002459173013866778,-0.00012576697326007337,-0.0003090067322344329,0.04815225300000001
Adgrl1,quadratic,1.0,0.9464602182385753,6.589995549450534e-05,-0.0020707472675824167,0.021917531000000007
Senp7,quadratic,1.0,0.002612880428037978,-0.0010464082530219786,-0.002009281595329672,0.21242265000000005
Kcnd3,quadratic,1.0,0.7783280222047786,0.00015012115549450545,-0.0019083268675824177,0.011687917000000006
Usp49,quadratic,1.0,0.7579419902643191,0.00012332170952380952,-0.001464414223809524,0.014143842000000007
Vps50,quadratic,1.0,0.20485801622661592,-0.00012451935824175827,-0.0007976615736263738,0.04769089000000001
Specc1l,linear,0.9561785629622757,0.9561785629622757,-0.0016280319431239388,0.032678430704584024,
Pik3ca,quadratic,1.0,0.40640972362072125,-0.00012283728021978042,-0.0011023172032967035,0.046577170000000015
Magi3,quadratic,1.0,0.0027743597270238896,-0.00039520636639194163,-0.001088600029212455,0.08242182400000002
Armc10,quadratic,1.0,0.5709140252772991,-8.228685018315035e-05,-0.0009538104860805866,0.06421886400000001
Insr,quadratic,1.0,0.00608963103744431,-0.0004880355168498171,-0.0014443218194139212,0.11598943000000005
2410089E03Rik,quadratic,1.0,0.00031143525129428973,-0.0007386715459706966,-0.001826562056227106,0.16511226
Cask,quadratic,1.0,0.12242996238631154,-0.00010144229230769242,-0.0005406485846153847,0.06145487700000001
Ptpro,quadratic,1.0,0.44430236605946916,0.00010438942216117214,0.0009926886657509158,0.018008465000000008
Marcksl1,quadratic,1.0,2.3370827587410048e-05,-0.0017783101188644694,-0.004214381916300369,0.3786958
Nxf1,quadratic,1.0,0.6527289418038638,-0.00020996577032967047,-0.0028003845549450547,0.07219462
Trim32,quadratic,1.0,0.5349643755071505,-5.4206715018315155e-05,0.000340386141391941,0.03850778000000001
Rmnd5a,quadratic,1.0,0.0058675373961230015,-0.0006831103326007334,-0.002013690522344324,0.1514944700000001
Lztr1,quadratic,1.0,0.42797061943403614,-0.0002066315408901101,0.0009531639546483509,0.06102431600000002
E330009J07Rik,quadratic,1.0,0.018245068646647877,-0.0003628727769047623,-0.0004487509002380969,0.07803932600000005
Avl9,quadratic,1.0,0.4858948867545949,-0.00016866594395604416,-0.00170954995934066,0.05179296800000002
4930402H24Rik,quadratic,1.0,5.072788201954115e-05,-0.001619759212820514,-0.003868388925641033,0.3367947000000001
Rnf169,quadratic,1.0,0.011021881613390017,0.00023351468534798544,0.00034643401355311356,0.008531889999999995
Rbm3,quadratic,1.0,0.04385482605193103,0.00014056569084249087,8.599209597069568e-05,0.015525291000000002
Add1,quadratic,1.0,0.2553188198671009,-5.391196703296717e-05,-0.0003790975054945052,0.048765489999999995
Snx13,quadratic,1.0,0.01065673441196291,-0.0002667121201465203,-0.000843947668864469,0.06505171
Tgs1,quadratic,1.0,0.006020905546969324,-0.0002691675701465204,-0.0007956278188644701,0.06596580000000003
Wdr48,quadratic,1.0,0.0015812876454127656,-0.0005944154723443224,-0.0015755335518315022,0.12785765999999998
Acat1,quadratic,1.0,0.15253173051274738,-0.00036131028131868145,0.0003883315802197792,0.11080513999999998
Kif3b,quadratic,1.0,0.7958033956740679,8.985685045787543e-05,0.0016335537902014657,0.019645259000000005
Ehmt1,quadratic,1.0,5.1010550668917354e-05,-0.0006993161631868137,-0.0016702526478022002,0.16360849000000005
Pkn2,quadratic,1.0,0.6588212747158775,-0.00011868844532967049,-0.0016007358799450555,0.04863481200000001
Nufip2,quadratic,1.0,0.2340924737780592,-0.0002899096894871796,0.0006108972710256395,0.07823150000000002
Hecw1,quadratic,1.0,0.15489651832715878,-0.0007061502168498177,-0.0040730919194139235,0.17727815000000005
Epha4,quadratic,1.0,0.8889363094559368,8.318850897435901e-05,0.002083303767948718,0.021599133000000003
Mcm3ap,quadratic,1.0,0.07249400274722517,-0.0003616887987179489,-0.0016548968474358985,0.09694567000000003
Pygo1,quadratic,1.0,0.5452674140906313,0.00036207452234432257,0.004026991901831503,0.006606640999999991
Pak1,quadratic,1.0,0.7675488602561071,1.563544890109889e-05,0.0002645369335164836,0.028617626000000007
Jade1,quadratic,1.0,0.009767144965725949,-0.0007468228413919415,-0.0023363397542124544,0.18267078999999994
Nek1,quadratic,1.0,0.001777281072898318,-0.0023446832657069614,-0.004671371234271067,0.45762146000000026
Impact,quadratic,1.0,0.019881385823007802,-0.00015925064084249102,-0.0001891397459706966,0.05472163500000002
Abca5,quadratic,1.0,2.7170912923257795e-05,-0.0004026543547619051,-0.000921765388095239,0.08264185000000002
Wdfy3,quadratic,1.0,0.0011149221168534895,-0.0007358537338827845,-0.0015179640749084255,0.15419854000000002
Vps13a,quadratic,1.0,4.62802592530176e-05,-0.0017210955227106243,-0.003917994973992678,0.3888712200000001
Atp2b1,linear,0.9654210508790549,0.9654210508790549,-0.0009018044991511038,0.02929090166723258,
A830010M20Rik,quadratic,1.0,0.21204247168389356,3.515423351648345e-05,0.0002283485027472528,0.025450927999999998
Clcn2,quadratic,1.0,0.9404955156522365,-0.00010043513131868155,-0.0034396313697802206,0.06564844400000006
Ccdc50,quadratic,1.0,0.21150875228216326,0.00011275593388278389,0.0007316694749084244,0.015763736999999996
Mapk8ip3,quadratic,1.0,0.09958515734235573,-0.00013305273205128218,4.5073285897434796e-05,0.04750288300000002
