gene_name,slope_divergence_E15,slope_divergence_P0,slope_divergence_P13,predicted_divergence_P3,predicted_divergence_P7,fit_type,R2,R2_linear,CI_lower_P3,CI_upper_P3,CI_lower_P7,CI_upper_P7,rank_score_P3,rank_score_P7
Lhx2,0.15037459,0.26540944,0.11527581,0.2513536435164836,0.21339485076923081,quadratic,1.0,0.03352989338887202,0.25135364351648354,0.2513536435164838,0.2133948507692307,0.21339485076923098,0.2513536435164836,0.21339485076923081
Rnf150,0.17983711,0.26795653,0.06510721,0.2441577432967035,0.19094760584615397,quadratic,1.0,0.28033994727253975,0.2441577432967033,0.24415774329670378,0.19094760584615372,0.19094760584615417,0.2441577432967035,0.19094760584615397
Nhsl1,0.09737843,0.3281167,0.09038376,0.3093299314835166,0.25061120623076927,quadratic,1.0,0.0002359336224891928,0.3093299314835165,0.30932993148351695,0.2506112062307691,0.25061120623076955,0.3093299314835166,0.25061120623076927
Gabrg3,0.22522001,0.26057276,0.02641058,0.22835961104395608,0.1650394203846154,quadratic,1.0,0.57974867416329,0.22835961104395597,0.2283596110439563,0.16503942038461522,0.1650394203846155,0.22835961104395608,0.1650394203846154
Pcdhga12,0.13658434,0.4084968,0.023609586,0.37082046594505497,0.2728511477692307,quadratic,1.0,0.0604140757031586,0.37082046594505486,0.37082046594505536,0.2728511477692306,0.272851147769231,0.37082046594505497,0.2728511477692307
Kcnt1,0.21683986,0.26832518,0.028939193,0.23648939709340674,0.17219502519230778,quadratic,1.0,0.5148334390987246,0.23648939709340666,0.23648939709340705,0.17219502519230764,0.172195025192308,0.23648939709340674,0.17219502519230778
Srsf5,0.04652527,0.5067539,0.014641834,0.4666217374065936,0.3445755043076924,quadratic,1.0,0.0002790829866271549,0.46662173740659346,0.46662173740659396,0.3445755043076922,0.34457550430769257,0.4666217374065936,0.3445755043076924
Eml6,0.07474421,0.45662236,0.032036766,0.42091139797802213,0.3151778083076924,quadratic,1.0,0.0025230730764354004,0.420911397978022,0.42091139797802246,0.31517780830769215,0.31517780830769265,0.42091139797802213,0.3151778083076924
Caln1,0.41798243,0.050900552,0.03908169,0.022927070197802255,0.009192076430769289,quadratic,1.0,0.8069137481136616,0.022927070197802216,0.022927070197802314,0.009192076430769275,0.00919207643076933,0.022927070197802255,0.009192076430769289
Shank3,0.123095594,0.35708472,0.02793718,0.32496864889011,0.2412289041384616,quadratic,1.0,0.05813541875772443,0.3249686488901099,0.32496864889011035,0.2412289041384614,0.24122890413846185,0.32496864889011,0.2412289041384616
D1Ertd622e,0.07348036,0.3730951,0.05998203,0.3480453128021978,0.2705856597692307,quadratic,1.0,9.471303367036832e-06,0.34804531280219775,0.3480453128021981,0.2705856597692306,0.2705856597692309,0.3480453128021978,0.2705856597692307
Tcp11l1,0.13254105,0.339441,0.027108895,0.30788458524725293,0.2279904890384616,quadratic,1.0,0.0856302743227001,0.3078845852472526,0.30788458524725326,0.22799048903846122,0.22799048903846186,0.30788458524725293,0.2279904890384616
Tmsb4x,0.04980985,0.38738948,0.051050927,0.36160593197252755,0.2788503628846154,quadratic,1.0,0.0019705666215538153,0.36160593197252733,0.3616059319725279,0.2788503628846152,0.2788503628846156,0.36160593197252755,0.2788503628846154
Matk,0.20955415,0.22480696,0.053332113,0.20045787022527478,0.15378519034615387,quadratic,1.0,0.638310710381695,0.20045787022527473,0.200457870225275,0.1537851903461538,0.15378519034615407,0.20045787022527478,0.15378519034615387
Mdga2,0.12596032,0.29603508,0.06979849,0.27462070609890116,0.2173270756153846,quadratic,1.0,0.03926610435841127,0.2746207060989011,0.27462070609890143,0.21732707561538453,0.21732707561538483,0.27462070609890116,0.2173270756153846
Sox4,0.026577715,0.4008551,0.07181829,0.37877604579670326,0.29907495734615375,quadratic,1.0,0.02297820627633851,0.37877604579670315,0.3787760457967035,0.29907495734615364,0.29907495734615397,0.37877604579670326,0.29907495734615375
Frmd4a,0.08353634,0.33693597,0.0668332,0.3149657524175824,0.24800168415384607,quadratic,1.0,0.0001957522893081265,0.3149657524175823,0.3149657524175826,0.24800168415384594,0.2480016841538463,0.3149657524175824,0.24800168415384607
Rps3,0.093633465,0.39667588,0.0034631907,0.35998801617527476,0.2606209067961538,quadratic,1.0,0.03185639262792672,0.3599880161752746,0.3599880161752752,0.2606209067961537,0.26062090679615413,0.35998801617527476,0.2606209067961538
Tra2a,0.04175105,0.50605434,0.035777733,0.4694525508846157,0.35352148911538483,quadratic,1.0,0.0009085116805740423,0.46945255088461546,0.46945255088461596,0.3535214891153845,0.35352148911538495,0.4694525508846157,0.35352148911538483
Rps4x,0.025886506,0.42325044,0.03200007,0.3935909408351647,0.29745783070769216,quadratic,1.0,0.0029828320601366087,0.39359094083516466,0.393590940835165,0.2974578307076921,0.2974578307076924,0.3935909408351647,0.29745783070769216
Syne2,0.0446366,0.3826829,0.053962115,0.35806279398351654,0.2774133517307692,quadratic,1.0,0.004275757316465678,0.3580627939835164,0.3580627939835169,0.2774133517307691,0.2774133517307694,0.35806279398351654,0.2774133517307692
Iqsec3,0.21131043,0.2669895,0.010208246,0.23287265413186817,0.16391918415384615,quadratic,1.0,0.5129969427414004,0.23287265413186814,0.23287265413186836,0.1639191841538461,0.1639191841538463,0.23287265413186817,0.16391918415384615
Rasgrp1,0.32582226,0.153038,0.027376331,0.1295830041027164,0.08686024821477073,linear,0.9975326889649567,0.9975326889649567,0.12099593308404069,0.13418322071986405,0.07827317719609506,0.09146046483191841,0.12926328252673971,0.08664593696584383
Eef1a1,0.08337457,0.35744688,0.040272485,0.3299701292582418,0.25066494388461535,quadratic,1.0,0.007104185012859476,0.32997012925824176,0.3299701292582423,0.25066494388461524,0.2506649438846158,0.3299701292582418,0.25066494388461535
Trpc4,0.08601503,0.32192916,0.063690946,0.30047010457142864,0.236265944,quadratic,1.0,0.0013589995774161423,0.30047010457142853,0.300470104571429,0.23626594399999992,0.23626594400000023,0.30047010457142864,0.236265944
