gene_name,slope_MIA,slope_saline,slope_divergence,R2_MIA,R2_saline,R2_divergence
1700019L03Rik,0.013708071828522407,0.010899779738108052,0.0028082920904143552,0.6377432566255594,0.923666947859085,
1700019M22Rik,0.0,0.0,0.0,1.0,1.0,
1700019N19Rik,0.001886074313553785,0.002775940558291104,-0.000889866244737319,0.5579476729753582,0.8282343008216038,
1700019O17Rik,-0.00045852612923644404,0.0006107134681422626,-0.0010692395973787067,0.09336366309397581,0.24202918685175878,
1700020A23Rik,0.009430825605414046,0.010353216340708203,-0.0009223907352941575,0.2934083780789555,0.5650579773103803,
1700020D05Rik,0.011206600151042249,0.007189349817813843,0.004017250333228406,0.12017199585195348,0.1039359639416968,
1700020G17Rik,0.0007655158937605787,0.0007664774091816996,-9.615154211208834e-07,0.6590751925618604,0.9693141407300854,
1700020I14Rik,0.0074194651105951095,0.014818130844870098,-0.0073986657342749885,0.11892457658123645,0.8603492468751731,
1700020L24Rik,-0.024994718568791697,-0.02105968278740818,-0.003935035781383517,0.46099929749732205,0.9440251671161557,
1700020M21Rik,0.0005545948911034511,0.0006133432644472857,-5.874837334383465e-05,0.9234972677595629,0.8413122010332221,
1700020N01Rik,0.0010246389108102293,4.3109346002512906e-05,0.0009815295648077165,0.7754943999948496,0.006673591887202512,
1700020N15Rik,0.0,0.0,0.0,1.0,1.0,
1700020N18Rik,7.862134633024183e-05,0.00021327036146775077,-0.00013464901513750895,0.0017953230014916555,0.3143641132005035,
1700021F05Rik,0.010031634677954124,-0.000873646942120631,0.010905281620074755,0.21406426135079226,0.002382233021101854,
1700021F07Rik,8.812253504251844e-05,2.4142681564433984e-05,6.397985347808445e-05,0.031178314958096753,0.008466762487472135,
1700021K19Rik,0.024758455021423653,0.025945571156586036,-0.0011871161351623832,0.46462353737004825,0.7828749771466174,
1700021N21Rik,0.00874827545132108,0.0056177490302876465,0.0031305264210334327,0.5795161208376264,0.6822670995920084,
1700022A21Rik,-5.025762690313124e-05,-0.0001953701011625388,0.00014511247425940755,0.13661202185792332,0.07659404545506332,
1700022A22Rik,0.0,0.0,0.0,1.0,1.0,
1700022E09Rik,0.0,0.0,0.0,1.0,1.0,
1700022H16Rik,-0.0001561439657762805,0.0,-0.0001561439657762805,0.26775956284153013,1.0,
1700022I11Rik,0.0004695092147452092,-0.0002327240431164243,0.0007022332578616335,0.027237166708922844,0.015279471081941165,
1700023C21Rik,0.0,0.0,0.0,1.0,1.0,
1700023E05Rik,0.01960528900070218,0.022026492283279856,-0.0024212032825776768,0.7870015069786539,0.9514764894758988,
1700023F02Rik,0.00607610841363311,0.005818212347236806,0.0002578960663963039,0.8225182450111315,0.5292711384482827,
1700023F06Rik,0.04548973511741221,0.040092068263576135,0.005397666853836074,0.6506043098706447,0.7909957079767791,
1700023L04Rik,0.004240986084771543,-0.0009880991159078284,0.005229085200679371,0.4690990814050401,0.038233173756915595,
1700024B18Rik,4.8261474611619934e-05,0.0001366676791637295,-8.840620455210956e-05,0.02648485938244749,0.1822567684855806,
1700024F13Rik,-0.017513446200071874,-0.017767298362619945,0.0002538521625480711,0.9805001402584043,0.5889340114000602,
1700024G13Rik,0.0004998190643985713,-0.002429049839679514,0.0029288689040780852,0.00821371361739398,0.05947695638597361,
1700024P04Rik,2.6164615845335637e-05,0.0,2.6164615845335637e-05,0.007179702009439071,1.0,
1700024P16Rik,0.02994911160467458,0.022013251137246392,0.00793586046742819,0.8168965808609738,0.8557235705066489,
1700025B11Rik,0.00033565039713546866,0.0,0.00033565039713546866,0.7384723465705407,1.0,
1700025C18Rik,-0.00030009916289080546,-0.00014368193124343406,-0.0001564172316473714,0.13661202185792354,0.26775956284153013,
1700025F22Rik,0.0,0.0,0.0,1.0,1.0,
1700025F24Rik,0.0035696806919375376,0.0008854711625133337,0.002684209529424204,0.2474777534806326,0.014695937463584885,
1700025G04Rik,-0.017569195831642802,-0.019364362962692692,0.00179516713104989,0.8835579489832308,0.8737158621033718,
1700025K24Rik,0.000497325927142633,-9.750785548890938e-05,0.0005948337826315424,0.8781148303794126,0.13661202185792343,
1700025M24Rik,-5.303533521847656e-05,0.00035331306402561853,-0.0004063483992440951,0.13661202185792332,0.7802290696943925,
1700025N23Rik,0.0006743004722874632,3.757057623846702e-05,0.0006367298960489962,0.7209716575140841,0.004607587702781912,
1700026D08Rik,0.025668482607237336,0.018063157593440172,0.007605325013797164,0.9087665626796513,0.884089436260515,
1700026D11Rik,0.00014105576734777263,-0.00013216482898436232,0.00027322059633213495,0.14786722600023305,0.2677595628415299,
1700026F02Rik,0.0,0.0,0.0,1.0,1.0,
1700026L06Rik,-0.008993840709745345,-0.014805651410963001,0.005811810701217656,0.8319025294248658,0.5865018319912028,
1700027A15Rik,0.0,0.0002867072830074743,-0.0002867072830074743,1.0,0.9234972677595629,
1700027F09Rik,-0.0004162049585350771,8.27972660279634e-05,-0.0004990022245630405,0.5270014187281522,0.09193929204942086,
1700027H10Rik,0.013980408823034193,0.012403581560601583,0.0015768272624326098,0.8526164083292185,0.7097906278877513,
1700027I24Rik,-0.0001319333782537541,-0.00014577876343489115,1.3845385181137054e-05,0.028497836670059118,0.07611246877684097,
1700027J07Rik,0.0008342455406250998,-0.0007203923787262343,0.001554637919351334,0.7993209322627924,0.31378909062652005,
1700028B04Rik,0.006844230990835397,0.0032208482844448315,0.0036233827063905655,0.9409645856940535,0.9234972677595629,
1700028D13Rik,-0.0005854887083501775,-0.0014639408274083456,0.0008784521190581681,0.06911964250305458,0.3996886692478414,
1700028E10Rik,-0.009005124808529743,-0.010464048346707618,0.0014589235381778747,0.4633109677929921,0.7637294073195355,
1700028I16Rik,-0.003304726663018623,0.0009112422320013147,-0.004215968895019938,0.4676006276248935,0.3344611207015822,
