stream1_rank,gene_name,slope_MIA,slope_saline,slope_divergence,R2_MIA,R2_saline,R2_divergence,log2FC_E12.5,log2FC_E14.5,log2FC_E17.5,log2FC_P0,max_abs_log2FC,stream1_score
107,Ccna2,-0.1405083042969589,-0.1595126685352236,0.0190043642382646,0.6824319417250464,0.9784771276187444,,0.1099057579173541,-0.5260064014868346,-1.5389518116007128,0.1244430276949634,1.5389518116007128,0.029246800772797104
108,Ccnb1,-0.1261687324667491,-0.147409919782224,0.0212411873154749,0.6743590880990744,0.985738706959947,,0.1934968015515087,-0.7373320579509355,-1.3742311640865887,0.1462722947923417,1.3742311640865887,0.029190301571126356
109,Foxa1,-0.046899827956211,-0.0750755160406433,0.0281756880844322,0.4529333371304754,0.5905790395720272,,-1.0335388812152535,0.2259255375109269,0.1174524256547147,0.1116201004822884,1.0335388812152535,0.029120669140254008
110,Caln1,0.1747294892523827,0.1945224573730698,-0.0197929681206871,0.5507167348108886,0.8634942336618219,,-0.2753442530219643,0.3182365936786009,1.4547660564990137,-0.3159281114240201,1.4547660564990137,0.028794138179342666
111,Penk,0.0965218037210747,0.1198624710513757,-0.0233406673303009,0.9291029907552896,0.9556579546768924,,0.2307358153872407,0.7760286240164056,1.232878123807705,0.043532911927035,1.232878123807705,0.028776198146601165
112,A830018L16Rik,0.144934761279501,0.164436724542846,-0.0195019632633449,0.6667700545745356,0.9361417350128804,,0.1486596130895,0.1721884718420814,1.4731627686672537,-0.1364656277947314,1.4731627686672537,0.02872956619547624
113,P4ha1,-0.0530705994670143,-0.0305374370583685,-0.0225331624086458,0.3986503803155341,0.8594784892561136,,1.2705901055387925,0.166472225360426,0.0006363947074018,0.2906212396956736,1.2705901055387925,0.028630413202924018
114,Fbxo5,-0.1081404472374868,-0.1321891910775478,0.0240487438400609,0.6367324133898564,0.9761756658390356,,0.0776518334718188,-0.5179960818211375,-1.1883438864275222,0.2395710903986311,1.1883438864275222,0.028578177718597903
115,Rad51,-0.1046367088423508,-0.1314244379429605,0.0267877291006097,0.6345646396541609,0.9327851067186852,,-0.1763370619213823,-0.534420942652205,-1.0658250307083337,0.1615403616764718,1.0658250307083337,0.02855103219126386
116,Tgif1,-0.1046254793846337,-0.1292981695934451,0.0246726902088114,0.5350044181348822,0.8577897204009289,,-0.229461197464974,-0.2433930386084036,-1.1554281418720591,0.1950226147688911,1.1554281418720591,0.0285075206029519
117,Tacc3,-0.0994340634526315,-0.1220998965563925,0.022665833103761,0.4895487259628833,0.9286062199776396,,0.1561348160016457,-0.3253629262601559,-1.257506763802245,0.3225154826855433,1.257506763802245,0.02850243843519229
118,Lsamp,0.0538337228593727,0.0856143588565361,-0.0317806359971634,0.5871749937233754,0.9939661546569752,,0.3248082325022543,0.2425637527885228,0.8966298529776825,-0.3082616095619253,0.8966298529776825,0.028495466981673864
119,Cdca2,-0.1375263147122745,-0.1551707752898206,0.017644460577546,0.6633592072592793,0.9767176912531712,,-0.0597968959269874,-0.2889968079932707,-1.6121489192174905,0.0909737796953822,1.6121489192174905,0.028445498050266405
120,Kif2c,-0.1402484289448954,-0.1588988670635865,0.0186504381186911,0.721103822416064,0.9746334211408436,,-0.0128447961445976,-0.4490284596450718,-1.523248231224524,0.0819736620349417,1.523248231224524,0.028409246875858656
121,Gmnn,-0.1116109889379048,-0.1356369458076129,0.0240259568697081,0.6076523626656506,0.9548348221467846,,0.1020900873202942,-0.8078948961217057,-1.1641917663348038,0.1426256876862726,1.1641917663348038,0.027970821166029284
122,Cdca7l,-0.0918793551723101,-0.1182148320173584,0.0263354768450482,0.4589543292560213,0.8588682854582418,,0.0717557931338698,-0.3079837211914477,-1.0594636449787698,0.3735247398781512,1.0594636449787698,0.02790148029050876
123,Htr5a,0.07739665921384,0.1027422735025744,-0.0253456142887344,0.4156662210601435,0.8791128532726861,,-0.1895541088707292,0.4313936290888144,1.1001459698116145,-0.3662570146648329,1.1001459698116145,0.02788387541215082
124,Nov,0.1473768191287238,0.1718045074362956,-0.0244276883075717,0.5472368292700607,0.8937834315481175,,-0.4241273344998733,0.9561231326592888,1.1350053150663342,-0.2694232567838611,1.1350053150663342,0.027725556063877624
125,Rad54l,-0.1178073983460606,-0.1404734507434029,0.0226660523973423,0.6240252977881844,0.9316114482040718,,-0.0818946362936224,-0.2983589232450911,-1.2195249223174185,0.2076580662926011,1.2195249223174185,0.027641815789111405
126,Aspm,-0.1257626670330299,-0.1453761218062181,0.0196134547731882,0.6726755748658007,0.9830710868345144,,-0.0631532354606159,-0.180267726794425,-1.398500101102314,0.1874076482296416,1.398500101102314,0.02742941848326936
127,2610307P16Rik,-0.0706869845963445,-0.0455639062519451,-0.0251230783443994,0.7090773717676571,0.7821028112353651,,1.09007933843528,-0.1744387616465797,-0.5859429727986479,-0.0354158100524595,1.09007933843528,0.02738614862112061
128,Sgol1,-0.1207040725191476,-0.1404078023762227,0.0197037298570749,0.6454511657249129,0.9688859757481728,,-0.0820564041976355,-0.444618641034711,-1.3898563996632265,0.0780538607048029,1.3898563996632265,0.027385355039090942
129,Gabrb1,0.0798461348243417,0.1049619808496956,-0.0251158460253538,0.3740039197997773,0.8285608005498715,,-0.1067400434341518,0.3396005993618933,1.0880106567562111,-0.3532370262715764,1.0880106567562111,0.027326308129033063
