combined_rank,gene_name,rank_s1,stream1_score,rank_s2,stream2_score,combined_score,evidence
255,Gm26830,201.0,,131.0,0.4796505871594175,0.006304356082184498,kalish_only
256,Ptk2b,132.0,0.0271578855223291,201.0,,0.006275440976933514,canales_only
257,Tnk1,201.0,,132.0,0.4791071284282175,0.006275440976933514,kalish_only
258,Zic1,133.0,0.0271457434611422,201.0,,0.006246960685295328,canales_only
259,Gm14540,201.0,,133.0,0.4787006835123504,0.006246960685295328,kalish_only
260,Gadd45g,134.0,0.0271179542456038,201.0,,0.006218905472636815,canales_only
261,Foxd1,201.0,,134.0,0.4785832839619467,0.006218905472636815,kalish_only
262,Cenpf,135.0,0.0270130951807083,201.0,,0.00619126589275843,canales_only
263,Ttf1,201.0,,135.0,0.4767483759887118,0.00619126589275843,kalish_only
264,Ms4a4b,201.0,,136.0,0.4741250497980911,0.00616403277729002,kalish_only
265,Kntc1,137.0,0.0269540733361308,201.0,,0.0061371972255510766,canales_only
266,9930111H07Rik,201.0,,137.0,0.4724365649405326,0.0061371972255510766,kalish_only
267,Abracl,138.0,0.0268685022298716,201.0,,0.006110750594851827,canales_only
268,Gm12324,201.0,,138.0,0.4707089144373236,0.006110750594851827,kalish_only
269,Fosl2,139.0,0.0268425315773488,201.0,,0.006084684491213,canales_only
270,D130052B06Rik,201.0,,139.0,0.4704977789709701,0.006084684491213,kalish_only
271,Polq,140.0,0.0267572103783842,201.0,,0.006058990760483298,canales_only
272,1700073E17Rik,201.0,,140.0,0.4703094133939306,0.006058990760483298,kalish_only
273,Gm44756,201.0,,141.0,0.4695139922409124,0.006033661479834868,kalish_only
274,Psrc1,141.0,0.0265905596131761,201.0,,0.006033661479834868,canales_only
275,Gm2155,201.0,,142.0,0.4688632696426368,0.006008688949618106,kalish_only
276,Pcdha5,142.0,0.02654492675603,201.0,,0.006008688949618106,canales_only
277,Nsl1,143.0,0.0265420877263169,201.0,,0.005984065685558223,canales_only
278,Maz,201.0,,143.0,0.46760315435242,0.005984065685558223,kalish_only
279,Cdk1,144.0,0.0265128988918462,201.0,,0.005959784411276948,canales_only
280,Ms4a6c,201.0,,144.0,0.4674541064072611,0.005959784411276948,kalish_only
281,Vtn,201.0,,145.0,0.4652831504253216,0.005935838051123692,kalish_only
282,Gda,145.0,0.0264623944638926,201.0,,0.005935838051123692,canales_only
283,Gm16548,201.0,,146.0,0.4640277832677109,0.0059122197233013015,kalish_only
284,Kif20b,146.0,0.0263225419759851,201.0,,0.0059122197233013015,canales_only
285,Ccnf,147.0,0.0263180644602069,201.0,,0.005888922733272413,canales_only
286,Ecel1,201.0,,147.0,0.4636777017890966,0.005888922733272413,kalish_only
287,Gal3st1,201.0,,148.0,0.4636443948425562,0.005865940567433105,kalish_only
288,Fbxl22,148.0,0.0263014770979247,201.0,,0.005865940567433105,canales_only
289,Dtnbos,201.0,,149.0,0.4622270231213476,0.005843266887041303,kalish_only
290,Mms22l,150.0,0.0261957315878772,201.0,,0.0058208955223880594,canales_only
291,H2-Q4,201.0,,150.0,0.4616131520500192,0.0058208955223880594,kalish_only
292,Apln,151.0,0.0261215542169564,201.0,,0.005798820467200422,canales_only
293,Llgl2,201.0,,151.0,0.4599868112410301,0.005798820467200422,kalish_only
294,Hbb-y,201.0,,152.0,0.4585421745805004,0.0057770358732652525,kalish_only
295,Neil3,152.0,0.026112263314708,201.0,,0.0057770358732652525,canales_only
296,Gm10687,201.0,,153.0,0.4581727900687789,0.005755536045263876,kalish_only
