rank,gene_name,perturbation_E15,perturbation_P0,perturbation_P13,mean_perturbation,transferability,rank_score,prior_dev_slope_ef,prior_dev_slope_wc,prior_direction_concordance,prior_stability,prior_baseline_expr
115,Cdc20,0.17864846,0.4384084,0.12487434,0.2473104,0.98381543,0.24330778,0.34252033,0.23702028,1.0,0.29275104,0.23703475
116,Mab21l1,0.22968362,0.6990304,0.11982835,0.34951413,0.6937596,0.24247879,0.49695614,0.34161875,0.0,0.4281099,0.12361811
117,Rps24,0.10965059,0.5773783,0.04779968,0.24494286,0.9898586,0.2424588,0.27391768,0.43525824,1.0,0.3900786,0.5771867
118,Sox21,0.498848,0.20094521,0.042454172,0.2474158,0.97857773,0.24211559,0.32237604,0.41773584,1.0,0.55352485,0.28042698
119,Prrt1,0.2448114,0.67790395,0.1148943,0.3458699,0.6997412,0.24201941,0.6506973,0.6094148,1.0,0.94774777,0.374084
120,Zfp663,0.05929652,0.6133482,0.12523374,0.2659595,0.90737873,0.24132599,0.25389633,0.32168236,1.0,0.73747325,0.11273434
121,Dnah9,0.1658699,0.58268857,0.10215284,0.28357044,0.85029954,0.24111982,0.55744857,0.45998,1.0,0.9012829,0.17347115
122,Zfp36l1,0.5873637,0.016688045,0.16700242,0.25701806,0.935736,0.24050105,0.35562405,0.41231558,1.0,0.6782836,0.35009763
123,Gm20515,0.19340932,0.58230495,0.02767954,0.26779795,0.8975151,0.2403527,0.49394637,0.47634992,1.0,0.9907225,0.06795267
124,Fam205a4,0.26045835,0.44559467,0.060144436,0.25539914,0.9408843,0.24030104,0.71487266,0.61648124,1.0,0.5235136,0.26935184
125,Gm12394,0.07362505,0.60495734,0.119868346,0.26615024,0.9027708,0.24027267,0.7129368,0.5458382,1.0,0.4060626,0.03953913
126,Hmmr,0.45151335,0.15302691,0.1281029,0.24421437,0.9804334,0.23943593,0.3569233,0.30699122,1.0,0.5850241,0.20498419
127,Alk,0.039831802,0.6786885,0.030870397,0.24979691,0.95678014,0.23900072,0.5626287,0.526071,1.0,0.72067857,0.15125433
128,Gm16503,0.26323664,0.41846755,0.07251044,0.25140485,0.95025957,0.23889987,0.6030364,0.47346616,1.0,0.572161,0.00729794
129,Nr2e1,0.49551946,0.18750873,0.045822084,0.2429501,0.98329973,0.23889276,0.3436116,0.395292,1.0,0.69304764,0.34210163
130,Ncaph,0.4323502,0.32805046,0.020560114,0.26032025,0.9172572,0.23878062,0.33492488,0.27604058,1.0,0.41778362,0.22138155
131,Rxfp1,0.23979267,0.46038577,0.024657598,0.24161202,0.9882156,0.23876478,0.8645912,0.6022657,1.0,0.18902405,0.17304462
132,Pakap,0.025315108,0.4699429,0.24659127,0.2472831,0.96498847,0.23862535,0.5816422,0.64548075,1.0,0.72202075,0.22759734
133,Runx2,0.0331413,0.6102445,0.0719428,0.23844288,0.9993647,0.2382914,0.76027924,0.586289,1.0,0.29060408,0.11493514
134,E230020D15Rik,0.19013774,0.5406429,0.01943895,0.2500732,0.9511936,0.23786801,0.43298092,0.40506408,1.0,0.8120712,0.055166777
135,Cdca3,0.3649244,0.33618796,0.033621904,0.24491143,0.9708089,0.2377622,0.35029572,0.22074294,1.0,0.24491501,0.23770215
136,Nrp2,0.2164606,0.4385861,0.05996755,0.2383381,0.99620414,0.2374334,0.41573286,0.36129835,1.0,0.8635808,0.45084265
137,Dlgap2,0.16555248,0.54009295,0.05061319,0.2520862,0.94000787,0.236963,0.74436826,0.6462186,1.0,0.5733027,0.3247865
138,Aldoc,0.31106293,0.47990572,0.03502049,0.2753297,0.8597128,0.23670447,0.55103374,0.63128966,1.0,0.9456158,0.5614878
139,D930036K23Rik,0.257749,0.46850747,0.012366186,0.24620755,0.95867145,0.23603214,0.56955963,0.48602158,1.0,0.8546174,0.020666432
140,Rpl27,0.1250579,0.55145186,0.07875325,0.2517543,0.9340909,0.23516142,0.3320643,0.44902903,1.0,0.50287074,0.31962124
141,Tdrd1,0.16641015,0.4631814,0.15108429,0.2602253,0.9036456,0.23515144,0.5326485,0.4487652,1.0,0.92250663,0.07806934
142,Gm37266,0.22399332,0.487061,0.0047559016,0.23860341,0.98494416,0.23501104,0.6546634,0.5234476,1.0,0.4333824,0.032521605
143,Id4,0.37076813,0.2754385,0.068402916,0.23820317,0.9853144,0.23470502,0.25078833,0.44440088,1.0,0.44458282,0.36658925
144,Pid1,0.13506423,0.6454262,0.04297311,0.27448785,0.8542123,0.23447089,0.5503524,0.5081095,1.0,0.8934916,0.35312885
145,Gpr158,0.3117831,0.38360006,0.035780612,0.24372126,0.9620237,0.23446563,0.8091937,0.78123724,1.0,0.6523479,0.3111478
146,Tmbim1,0.15605691,0.6834946,0.0053664707,0.28163934,0.8315957,0.23421007,0.5858072,0.64271015,1.0,0.640888,0.18305694
147,Uhrf1,0.47213137,0.20387132,0.04462257,0.24020843,0.97450346,0.23408395,0.30819035,0.19266221,1.0,0.22264947,0.2627666
148,Siva1,0.25009555,0.3699149,0.121201284,0.24707057,0.9467384,0.2339112,0.4021003,0.3921835,1.0,0.7743945,0.218566
149,Ccnb1,0.4571043,0.21816239,0.041853786,0.23904015,0.9782663,0.23384492,0.28520253,0.23587658,1.0,0.37915584,0.2757902
150,Pcdha11.1,0.2535729,0.38640365,0.0875295,0.24250202,0.9641338,0.23380439,0.56353897,0.4757558,1.0,0.82267076,0.24972326
151,Kif18b,0.48142287,0.20336735,0.04401598,0.24293542,0.9607781,0.23340704,0.34047434,0.26430902,1.0,0.421725,0.16965064
152,Slc6a7,0.1998554,0.46297973,0.07103262,0.24462259,0.9530936,0.23314822,0.865486,0.6815904,1.0,0.30576006,0.27538997
153,Oacyl,0.2829582,0.5324245,0.102880366,0.3060877,0.7610518,0.23294859,0.6013999,0.4763894,1.0,0.68084335,0.058356293
154,Rpl35,0.17060544,0.5082837,0.023948573,0.23427922,0.99419945,0.23292027,0.28858125,0.41857627,1.0,0.44043636,0.4966457
155,Rps25,0.12602167,0.5065346,0.07886139,0.23713923,0.9812242,0.23268674,0.2803987,0.43629277,1.0,0.4277918,0.5407564
156,Nkd1,0.109784216,0.53348696,0.069180615,0.23748393,0.9785382,0.23238711,0.3766411,0.440429,1.0,0.6548751,0.31410757
157,Rps29,0.2933871,0.30930343,0.09253118,0.23174058,0.99572164,0.23074912,0.2633573,0.45298868,1.0,0.32288933,0.5634964
158,Htr5a,0.25575203,0.370216,0.11671645,0.2475615,0.9299925,0.23023033,0.6661855,0.63340175,1.0,0.9167208,0.22442722
159,Bhlhe41,0.23754507,0.5173078,0.02174613,0.25886634,0.88907135,0.23015064,0.65911674,0.69551814,1.0,0.6479981,0.15017463
160,Lhx6,0.38729227,0.22159544,0.24599786,0.28496185,0.8073086,0.23005216,0.40891898,0.37206703,0.0,0.7312751,0.39970535
